school_name,dbn,num_testtakers,num_offered,pct_8th_graders_offered,pct_black_hispanic,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
P.S./I.S. 323,23K323,10,0,0%,98%,332300010323.0,23.0,40.666247,-73.91127,"210 CHESTER ST BROOKLYN, NY 11212",BROOKLYN,11212.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.86,"$27,808.12 ",3%,1%,78%,20%,98%,0%,90%,38%,96%,Meeting Target,95%,Meeting Target,88%,Approaching Target,86%,Meeting Target,86%,Meeting Target,93%,Exceeding Target,Approaching Target,2.32,2.25
MOTT HALL BRIDGES ACADEMY,23K671,10,0,0%,98%,332300010671.0,23.0,40.666247,-73.91127,"210 CHESTER ST BROOKLYN, NY 11212",BROOKLYN,11212.0,"06,07,08",06,08,No,0.8,,1%,0%,81%,16%,98%,1%,92%,31%,96%,Meeting Target,99%,Exceeding Target,92%,Exceeding Target,97%,Exceeding Target,86%,Exceeding Target,96%,Exceeding Target,Meeting Target,2.26,2.35
P.S./I.S. 116 WILLIAM C. HUGHLEY,29Q116,10,0,0%,89%,342900010116.0,29.0,40.700759999999995,-73.78191600000001,"107-25 WREN PL JAMAICA, NY 11433",JAMAICA,11433.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.748,"$48,919.46 ",11%,5%,60%,32%,92%,2%,91%,38%,86%,Meeting Target,83%,Meeting Target,80%,Approaching Target,77%,Meeting Target,85%,Meeting Target,87%,Meeting Target,Approaching Target,2.26,2.24
P.S./M.S. 138 SUNRISE,29Q138,10,0,0%,92%,342900010138.0,29.0,40.659983000000004,-73.734434,"251-11 WELLER AVE ROSEDALE, NY 11422",ROSEDALE,11422.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.545,"$79,063.05 ",4%,3%,84%,8%,92%,2%,94%,19%,86%,Meeting Target,86%,Meeting Target,79%,Approaching Target,82%,Meeting Target,81%,Approaching Target,87%,Approaching Target,Approaching Target,2.27,2.16
PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,29Q283,10,0,0%,94%,342900011283.0,29.0,40.668105,-73.757899,"143-10 SPRINGFIELD BLVD SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413.0,"06,07,08,09,10,11,12",06,12,No,0.46399999999999997,,1%,4%,85%,6%,91%,2%,97%,3%,94%,Exceeding Target,93%,Exceeding Target,88%,Exceeding Target,92%,Exceeding Target,81%,Meeting Target,91%,Meeting Target,Meeting Target,2.68,2.6
EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,32K562,10,0,0%,97%,333200010562.0,32.0,40.688922,-73.91033,"125 COVERT ST BROOKLYN, NY 11207",BROOKLYN,11207.0,"06,07,08",06,08,No,0.848,,25%,1%,28%,69%,96%,2%,92%,25%,88%,Meeting Target,95%,Meeting Target,89%,Meeting Target,92%,Meeting Target,79%,Meeting Target,95%,Exceeding Target,Approaching Target,2.11,1.95
HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL,84M335,10,0,0%,97%,310400860849.0,4.0,40.799315,-73.933952,"2351 1ST AVE-4TH FL NEW YORK, NY 10035",NEW YORK,10035.0,"01,05,06,07,08,K",0K,08,No,0.722,"$30,184.66 ",5%,0%,65%,33%,98%,1%,95%,14%,86%,Meeting Target,86%,Meeting Target,80%,Meeting Target,81%,Meeting Target,81%,Approaching Target,90%,Meeting Target,Meeting Target,2.36,2.72
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",01M301,11,0,0%,87%,310100010301.0,1.0,40.729892,-73.98423100000001,"185 1ST AVE NEW YORK, NY 10003",NEW YORK,10003.0,"06,07,08",06,08,No,0.7909999999999999,,6%,8%,29%,55%,84%,4%,90%,35%,84%,Approaching Target,78%,Approaching Target,81%,Approaching Target,80%,Approaching Target,74%,Approaching Target,87%,Approaching Target,Meeting Target,2.29,2.0
LAFAYETTE ACADEMY,03M256,11,0,0%,85%,310300010256.0,3.0,40.791685,-73.97077,"154 W 93RD ST NEW YORK, NY 10025",NEW YORK,10025.0,"06,07,08",06,08,No,0.778,,19%,2%,51%,38%,88%,7%,88%,38%,83%,Approaching Target,89%,Meeting Target,80%,Approaching Target,87%,Meeting Target,83%,Meeting Target,91%,Meeting Target,Meeting Target,2.27,2.1
COMMUNITY ACTION SCHOOL - MS 258,03M258,11,0,0%,89%,310300010258.0,3.0,40.791685,-73.97077,"154 W 93RD ST NEW YORK, NY 10025",NEW YORK,10025.0,"06,07,08",06,08,No,0.73,,3%,2%,45%,43%,87%,11%,94%,15%,96%,Exceeding Target,96%,Exceeding Target,87%,Exceeding Target,94%,Exceeding Target,82%,Meeting Target,93%,Exceeding Target,Meeting Target,2.41,2.5
THE LEXINGTON ACADEMY,04M072,11,0,0%,94%,310400010072.0,4.0,40.791451,-73.947448,"131 E 104TH ST NEW YORK, NY 10029",NEW YORK,10029.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.866,"$33,728.15 ",11%,1%,13%,83%,95%,3%,92%,30%,90%,Meeting Target,90%,Exceeding Target,94%,Exceeding Target,82%,Meeting Target,87%,Meeting Target,92%,Meeting Target,Meeting Target,2.32,2.4
NEW DESIGN MIDDLE SCHOOL,05M514,11,0,0%,97%,310500010514.0,5.0,40.819764,-73.95724,"625 W 133RD ST NEW YORK, NY 10031",NEW YORK,10031.0,"06,07,08",06,08,No,0.8809999999999999,,11%,1%,52%,43%,95%,3%,91%,27%,83%,Approaching Target,79%,Approaching Target,81%,Meeting Target,75%,Approaching Target,78%,Approaching Target,87%,Meeting Target,Approaching Target,2.08,1.94
J.H.S. 123 JAMES M. KIERAN,08X123,11,0,0%,96%,320800010123.0,8.0,40.824884000000004,-73.873517,"1025 MORRISON AVE BRONX, NY 10472",BRONX,10472.0,"06,07,08",06,08,Yes,0.8759999999999999,,24%,1%,21%,78%,99%,0%,91%,28%,67%,Not Meeting Target,64%,Not Meeting Target,78%,Approaching Target,53%,Not Meeting Target,71%,Approaching Target,69%,Not Meeting Target,Approaching Target,2.15,1.98
FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,12X273,11,0,0%,96%,321200010273.0,12.0,40.848711,-73.888912,"2111 CROTONA AVE BRONX, NY 10457",BRONX,10457.0,"06,07,08",06,08,No,0.823,,8%,1%,30%,67%,97%,1%,90%,37%,81%,Approaching Target,92%,Meeting Target,80%,Approaching Target,89%,Meeting Target,78%,Meeting Target,92%,Meeting Target,Approaching Target,2.25,2.19
MIDDLE SCHOOL FOR ART AND PHILOSOPHY,18K588,11,0,0%,95%,331800010588.0,18.0,40.65785,-73.92003199999999,"1084 LENOX RD BROOKLYN, NY 11212",BROOKLYN,11212.0,"06,07,08",06,08,No,0.778,,6%,0%,88%,6%,94%,1%,92%,26%,84%,Meeting Target,82%,Meeting Target,82%,Meeting Target,84%,Meeting Target,79%,Meeting Target,84%,Approaching Target,Meeting Target,2.29,2.18
I.S. 171 ABRAHAM LINCOLN,19K171,11,0,0%,89%,331900010171.0,19.0,40.685840999999996,-73.869429,"528 RIDGEWOOD AVE BROOKLYN, NY 11208",BROOKLYN,11208.0,"06,07,08",06,08,No,0.7879999999999999,,22%,4%,14%,77%,91%,1%,92%,26%,93%,Meeting Target,94%,Meeting Target,85%,Meeting Target,86%,Meeting Target,76%,Approaching Target,93%,Meeting Target,Approaching Target,2.27,2.2
P.S. 146 HOWARD BEACH,27Q146,11,0,0%,41%,342700010146.0,27.0,40.659866,-73.83515600000001,"98-01 159TH AVE HOWARD BEACH, NY 11414",HOWARD BEACH,11414.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.301,"$76,665.22 ",2%,3%,2%,35%,37%,60%,94%,13%,92%,Meeting Target,89%,Meeting Target,88%,Meeting Target,76%,Approaching Target,81%,Approaching Target,90%,Meeting Target,Meeting Target,2.7,2.88
I.S. 347 SCHOOL OF HUMANITIES,32K347,11,0,0%,97%,333200010347.0,32.0,40.700818,-73.927587,"35 STARR ST BROOKLYN, NY 11221",BROOKLYN,11221.0,"06,07,08",06,08,No,0.821,,18%,2%,7%,89%,96%,1%,92%,24%,86%,Meeting Target,90%,Meeting Target,82%,Meeting Target,84%,Meeting Target,81%,Meeting Target,93%,Meeting Target,Meeting Target,2.25,2.3
SOUTH BRONX EARLY COLLEGE ACADEMY CHARTER SCHOOL,84X492,11,0,0%,99%,320700861068.0,7.0,40.808913000000004,-73.921746,"423 E 138TH ST-7TH FL BRONX, NY 10454",BRONX,10454.0,"06,07,08",06,08,No,,,14%,0%,34%,63%,97%,1%,,,,,,,,,,,,,,,,,
M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,03M247,12,0,0%,98%,310300010247.0,3.0,40.789382,-73.9681,"32 W 92ND ST NEW YORK, NY 10025",NEW YORK,10025.0,"06,07,08",06,08,No,0.802,,31%,0%,1%,99%,99%,1%,96%,7%,89%,Exceeding Target,93%,Exceeding Target,92%,Exceeding Target,88%,Meeting Target,88%,Exceeding Target,95%,Exceeding Target,Exceeding Target,2.51,2.64
AMISTAD DUAL LANGUAGE SCHOOL,06M311,12,0,0%,93%,310600010311.0,6.0,40.866521999999996,-73.92381800000001,"4862 BROADWAY NEW YORK, NY 10034",NEW YORK,10034.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.713,"$42,610.02 ",22%,2%,1%,91%,93%,5%,96%,7%,86%,Meeting Target,89%,Meeting Target,86%,Meeting Target,80%,Meeting Target,92%,Exceeding Target,91%,Meeting Target,Approaching Target,2.45,2.48
P.S. 315 LAB SCHOOL,10X315,12,0,0%,98%,321000010315.0,10.0,40.857969,-73.903757,"2246 JEROME AVE BRONX, NY 10453",BRONX,10453.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.868,"$26,738.54 ",16%,1%,16%,82%,98%,1%,94%,19%,95%,Exceeding Target,93%,Exceeding Target,80%,Meeting Target,90%,Exceeding Target,87%,Meeting Target,89%,Meeting Target,Exceeding Target,2.46,2.61
M.S. K394,17K394,12,0,0%,91%,331700010394.0,17.0,40.672706,-73.92893000000001,"188 ROCHESTER AVE BROOKLYN, NY 11213",BROOKLYN,11213.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.797,"$32,470.47 ",4%,6%,77%,15%,92%,1%,92%,24%,89%,Meeting Target,86%,Meeting Target,83%,Approaching Target,80%,Meeting Target,82%,Approaching Target,85%,Approaching Target,Approaching Target,2.35,2.21
LIBERTY AVENUE MIDDLE SCHOOL,19K662,12,0,0%,91%,331900010662.0,19.0,40.676982,-73.883838,"350 LINWOOD ST BROOKLYN, NY 11208",BROOKLYN,11208.0,"06,07,08",06,08,No,0.823,,20%,5%,24%,68%,92%,1%,92%,31%,91%,Exceeding Target,97%,Exceeding Target,94%,Exceeding Target,94%,Exceeding Target,78%,Meeting Target,97%,Exceeding Target,Meeting Target,2.32,2.31
SCHOOL OF THE FUTURE BROOKLYN,19K663,12,0,0%,96%,331900010663.0,19.0,40.665557,-73.89764100000001,"574 DUMONT AVE BROOKLYN, NY 11207",BROOKLYN,11207.0,"06,07,08",06,08,No,0.8909999999999999,,4%,2%,64%,33%,97%,1%,94%,16%,88%,Meeting Target,97%,Exceeding Target,83%,Meeting Target,94%,Exceeding Target,85%,Meeting Target,93%,Meeting Target,Meeting Target,2.19,2.2
P.S. 095 THE GRAVESEND,21K095,12,0,0%,43%,332100010095.0,21.0,40.595711,-73.975173,"345 VAN SICKLEN ST BROOKLYN, NY 11223",BROOKLYN,11223.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.695,"$40,295.15 ",14%,29%,9%,39%,48%,22%,94%,19%,97%,Exceeding Target,95%,Exceeding Target,97%,Exceeding Target,90%,Exceeding Target,82%,Meeting Target,94%,Exceeding Target,Meeting Target,2.76,2.95
P.S. 109,22K109,12,0,0%,95%,332200010109.0,22.0,40.636004,-73.933149,"1001 E 45TH ST BROOKLYN, NY 11210",BROOKLYN,11210.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.738,"$55,488.67 ",6%,2%,80%,15%,95%,3%,93%,23%,85%,Approaching Target,84%,Approaching Target,82%,Meeting Target,81%,Meeting Target,83%,Approaching Target,88%,Meeting Target,Meeting Target,2.32,2.2
EAGLE ACADEMY FOR YOUNG MEN II,23K644,12,0,0%,97%,332300011644.0,23.0,40.678113,-73.915211,"1137 HERKIMER ST BROOKLYN, NY 11233",BROOKLYN,11233.0,"06,07,08,09,10,11,12",06,12,No,0.685,,1%,1%,90%,8%,97%,1%,92%,23%,87%,Meeting Target,87%,Meeting Target,85%,Exceeding Target,86%,Meeting Target,82%,Meeting Target,93%,Exceeding Target,Approaching Target,2.27,2.3
BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),23K664,12,0,0%,93%,332300010664.0,23.0,40.680262,-73.91115,"251 MCDOUGAL ST BROOKLYN, NY 11233",BROOKLYN,11233.0,"06,07,08",06,08,No,0.8370000000000001,,6%,1%,78%,19%,97%,2%,92%,31%,95%,Meeting Target,98%,Exceeding Target,91%,Meeting Target,96%,Exceeding Target,86%,Exceeding Target,97%,Exceeding Target,Approaching Target,2.09,1.96
P.S./I.S. 087 MIDDLE VILLAGE,24Q087,12,0,0%,54%,342400010087.0,24.0,40.711906,-73.871298,"67-54 80TH ST MIDDLE VILLAGE, NY 11379",MIDDLE VILLAGE,11379.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.5,"$62,298.87 ",8%,3%,1%,50%,51%,46%,92%,33%,90%,Meeting Target,71%,Approaching Target,88%,Approaching Target,59%,Not Meeting Target,84%,Meeting Target,80%,Approaching Target,Meeting Target,2.7,2.72
J.H.S. 008 RICHARD S. GROSSLEY,28Q008,12,0,0%,67%,342800010008.0,28.0,40.696913,-73.786396,"108-35 167TH ST JAMAICA, NY 11433",JAMAICA,11433.0,"06,07,08",06,08,Yes,0.6940000000000001,,13%,12%,55%,21%,77%,1%,90%,36%,88%,Approaching Target,90%,Approaching Target,83%,Approaching Target,74%,Approaching Target,75%,Approaching Target,87%,Meeting Target,Meeting Target,2.21,2.14
THE OPPORTUNITY CHARTER SCHOOL,84M279,12,0,0%,96%,310300860871.0,3.0,40.801651,-73.95529499999999,"240 W 113TH ST-4TH FL NEW YORK, NY 10026",NEW YORK,10026.0,"06,07,08,09,10,11,12",06,12,No,0.758,,9%,1%,56%,42%,98%,0%,93%,22%,79%,Approaching Target,69%,Approaching Target,79%,Meeting Target,70%,Approaching Target,77%,Meeting Target,82%,Approaching Target,Approaching Target,2.13,2.01
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,01M332,13,0,0%,86%,310100010332.0,1.0,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002.0,"06,07,08",06,08,No,0.7709999999999999,,15%,5%,27%,63%,90%,4%,92%,26%,92%,Exceeding Target,96%,Meeting Target,92%,Exceeding Target,96%,Exceeding Target,86%,Exceeding Target,96%,Exceeding Target,Meeting Target,2.26,2.2
FREDERICK DOUGLASS ACADEMY,05M499,13,0,0%,94%,310500011499.0,5.0,40.824397999999995,-73.936545,"2581 7TH AVE NEW YORK, NY 10039",NEW YORK,10039.0,"06,07,08,09,10,11,12",06,12,No,0.708,,3%,1%,71%,23%,94%,2%,93%,22%,89%,Meeting Target,86%,Meeting Target,79%,Meeting Target,75%,Approaching Target,78%,Meeting Target,85%,Approaching Target,Approaching Target,2.41,2.24
J.H.S. 052 INWOOD,06M052,13,0,0%,98%,310600010052.0,6.0,40.865914000000004,-73.925157,"650 ACADEMY ST NEW YORK, NY 10034",NEW YORK,10034.0,"06,07,08",06,08,No,0.8240000000000001,,32%,0%,4%,93%,97%,2%,93%,23%,85%,Approaching Target,91%,Meeting Target,83%,Meeting Target,85%,Meeting Target,91%,Exceeding Target,90%,Meeting Target,Meeting Target,2.3,2.22
CITY COLLEGE ACADEMY OF THE ARTS,06M293,13,0,0%,95%,310600011293.0,6.0,40.860820000000004,-73.930066,"4600 BROADWAY NEW YORK, NY 10040",NEW YORK,10040.0,"06,07,08,09,10,11,12",06,12,No,0.708,,5%,1%,5%,92%,97%,2%,95%,10%,85%,Approaching Target,79%,Meeting Target,88%,Meeting Target,67%,Not Meeting Target,71%,Approaching Target,84%,Approaching Target,Exceeding Target,2.78,3.0
M.S. 302 LUISA DESSUS CRUZ,08X302,13,0,0%,98%,320800010302.0,8.0,40.815971000000005,-73.901686,"681 KELLY ST BRONX, NY 10455",BRONX,10455.0,"06,07,08",06,08,No,0.9059999999999999,,25%,1%,20%,77%,98%,1%,87%,48%,82%,Approaching Target,84%,Meeting Target,95%,Meeting Target,76%,Approaching Target,77%,Approaching Target,92%,Meeting Target,Meeting Target,2.22,2.17
"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",09X241,13,0,0%,98%,320900011241.0,9.0,40.839457,-73.901895,"1595 BATHGATE AVE BRONX, NY 10457",BRONX,10457.0,"06,07,08,09,10,11,12",06,12,No,0.8220000000000001,,11%,1%,34%,64%,98%,1%,92%,26%,82%,Meeting Target,82%,Meeting Target,80%,Meeting Target,79%,Approaching Target,77%,Approaching Target,86%,Meeting Target,Meeting Target,2.23,2.47
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,09X324,13,0,0%,95%,320900011324.0,9.0,40.828111,-73.917661,"250 E 164TH ST BRONX, NY 10456",BRONX,10456.0,"06,07,08,09,10,11,12",06,12,Yes,0.8190000000000001,,14%,3%,29%,66%,95%,2%,93%,23%,90%,Exceeding Target,94%,Exceeding Target,84%,Meeting Target,88%,Meeting Target,74%,Approaching Target,90%,Meeting Target,Meeting Target,2.17,2.16
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",09X505,13,0,0%,96%,320900011505.0,9.0,40.827571999999996,-73.918927,"244 E 163RD ST BRONX, NY 10451",BRONX,10451.0,"07,08,09,10,11,12",07,12,No,0.8029999999999999,,6%,1%,24%,71%,96%,1%,95%,14%,82%,Meeting Target,80%,Meeting Target,80%,Meeting Target,76%,Approaching Target,71%,Approaching Target,85%,Approaching Target,Exceeding Target,2.63,2.63
P.S. 3 RAUL JULIA MICRO SOCIETY,10X003,13,0,0%,99%,321000010003.0,10.0,40.850163,-73.89165600000001,"2100 LAFONTAINE AVE BRONX, NY 10457",BRONX,10457.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.8640000000000001,"$25,544.48 ",10%,2%,29%,68%,97%,0%,91%,37%,97%,Meeting Target,90%,Meeting Target,87%,Meeting Target,83%,Meeting Target,83%,Meeting Target,91%,Meeting Target,Meeting Target,2.35,2.54
I.S. 254,10X254,13,0,0%,96%,321000010254.0,10.0,40.858858000000005,-73.889841,"2452 WASHINGTON AVE BRONX, NY 10458",BRONX,10458.0,"06,07,08",06,08,No,0.885,,34%,3%,18%,78%,95%,1%,91%,30%,77%,Approaching Target,83%,Meeting Target,83%,Meeting Target,74%,Approaching Target,76%,Approaching Target,88%,Meeting Target,Exceeding Target,2.2,2.25
NEW HEIGHTS MIDDLE SCHOOL,17K722,13,0,0%,94%,331700010722.0,17.0,40.662087,-73.936458,"790 E NEW YORK AVE BROOKLYN, NY 11203",BROOKLYN,11203.0,"06,07,08",06,08,No,0.7440000000000001,,5%,1%,82%,11%,93%,0%,93%,18%,85%,Meeting Target,82%,Meeting Target,81%,Meeting Target,87%,Meeting Target,86%,Meeting Target,90%,Meeting Target,Approaching Target,2.12,2.13
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,27Q309,13,0,0%,87%,342700011309.0,27.0,40.601532,-73.763979,"8-21 BAY 25TH ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691.0,"06,07,08,09,10,11,12",06,12,No,0.667,,13%,8%,43%,42%,85%,4%,93%,20%,79%,Meeting Target,85%,Exceeding Target,84%,Meeting Target,78%,Meeting Target,73%,Approaching Target,88%,Meeting Target,Meeting Target,2.29,2.17
HARLEM PREP CHARTER SCHOOL,84M708,13,0,0%,97%,310400860840.0,4.0,40.801377,-73.935082,"240 E 123RD ST-1ST FL NEW YORK, NY 10035",NEW YORK,10035.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.815,"$28,953.15 ",7%,0%,58%,39%,97%,1%,96%,11%,90%,Meeting Target,91%,Meeting Target,81%,Meeting Target,86%,Meeting Target,86%,Meeting Target,88%,Meeting Target,Approaching Target,2.47,2.69
FUTURE LEADERS INSTITUTE CHARTER SCHOOL,84M861,13,0,0%,97%,310300860881.0,3.0,40.806174,-73.948335,"134 W 122ND ST NEW YORK, NY 10027",NEW YORK,10027.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.742,"$35,020.21 ",7%,1%,84%,15%,98%,1%,92%,26%,93%,Meeting Target,90%,Meeting Target,86%,Approaching Target,84%,Meeting Target,89%,Meeting Target,91%,Meeting Target,Meeting Target,2.43,2.62
RENAISSANCE CHARTER SCHOOL,84Q705,13,0,0%,68%,343000860822.0,30.0,40.749951,-73.885164,"35-59 81ST ST JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372.0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.513,"$52,130.60 ",5%,18%,8%,58%,67%,14%,96%,3%,89%,Meeting Target,88%,Meeting Target,81%,Meeting Target,81%,Meeting Target,86%,Meeting Target,87%,Meeting Target,Meeting Target,2.65,2.92
M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,04M224,14,0,0%,80%,310400010224.0,4.0,40.785027,-73.942008,"410 E 100TH ST NEW YORK, NY 10029",NEW YORK,10029.0,"06,07,08",06,08,No,0.708,,2%,5%,36%,51%,87%,7%,93%,23%,88%,Meeting Target,88%,Exceeding Target,86%,Meeting Target,80%,Meeting Target,79%,Approaching Target,88%,Meeting Target,Meeting Target,2.64,2.7
P.S. 175 CITY ISLAND,11X175,14,0,0%,45%,321100010175.0,11.0,40.843790000000006,-73.78469100000001,"200 CITY ISLAND AVE BRONX, NY 10464",BRONX,10464.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.247,"$73,103.77 ",2%,6%,9%,29%,38%,54%,95%,13%,93%,Meeting Target,96%,Meeting Target,85%,Meeting Target,88%,Meeting Target,87%,Meeting Target,90%,Meeting Target,Meeting Target,2.86,3.03
EAST BRONX ACADEMY FOR THE FUTURE,12X271,14,0,0%,96%,321200011271.0,12.0,40.836839000000005,-73.887671,"1716 SOUTHERN BLVD BRONX, NY 10460",BRONX,10460.0,"06,07,08,09,10,11,12",06,12,Yes,0.853,,11%,1%,26%,72%,98%,1%,87%,48%,85%,Meeting Target,91%,Exceeding Target,84%,Meeting Target,92%,Exceeding Target,75%,Approaching Target,93%,Meeting Target,Meeting Target,2.23,2.16
P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,20K192,14,0,0%,49%,332000010192.0,20.0,40.628989000000004,-73.979862,"4715 18TH AVE BROOKLYN, NY 11204",BROOKLYN,11204.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.8,"$40,627.41 ",30%,20%,2%,52%,53%,26%,94%,16%,90%,Exceeding Target,89%,Exceeding Target,89%,Exceeding Target,78%,Meeting Target,81%,Approaching Target,90%,Meeting Target,Meeting Target,2.46,2.59
P.S. 238 ANNE SULLIVAN,21K238,14,0,0%,54%,332100010238.0,21.0,40.608787,-73.964587,"1633 E 8TH ST BROOKLYN, NY 11223",BROOKLYN,11223.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.8,"$44,760.90 ",27%,17%,4%,56%,61%,22%,94%,18%,88%,Meeting Target,91%,Meeting Target,89%,Exceeding Target,77%,Meeting Target,82%,Meeting Target,92%,Meeting Target,Meeting Target,2.42,2.49
P.S. 207 ROCKWOOD PARK,27Q207,14,0,0%,20%,342700010207.0,27.0,40.657832,-73.844039,"159-15 88TH ST HOWARD BEACH, NY 11414",HOWARD BEACH,11414.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.191,"$80,373.95 ",0%,3%,2%,19%,21%,75%,95%,11%,91%,Meeting Target,91%,Meeting Target,88%,Meeting Target,82%,Meeting Target,80%,Approaching Target,92%,Meeting Target,Meeting Target,2.87,3.06
P.S./I.S. 78Q,30Q078,14,0,0%,32%,343000010078.0,30.0,40.744465000000005,-73.957666,"48-09 CENTER BLVD LONG ISLAND CITY, NY 11109",LONG ISLAND CITY,11109.0,"PK,0K,01,02,03,04,05",PK,05,No,0.23199999999999998,"$98,309.97 ",5%,18%,4%,32%,36%,40%,95%,13%,96%,Exceeding Target,97%,Exceeding Target,87%,Meeting Target,89%,Meeting Target,89%,Exceeding Target,93%,Meeting Target,Approaching Target,2.94,3.06
"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",02M442,15,0,0%,40%,310200011442.0,2.0,40.73854,-73.989485,"890 BROADWAY NEW YORK, NY 10003",NEW YORK,10003.0,"04,05,06,07,08",04,08,No,0.46799999999999997,"$56,095.12 ",0%,36%,25%,16%,41%,19%,96%,7%,98%,Exceeding Target,98%,Exceeding Target,92%,Meeting Target,94%,Exceeding Target,84%,Meeting Target,95%,Exceeding Target,Exceeding Target,3.21,3.65
P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,03M333,15,0,0%,29%,310300010333.0,3.0,40.791685,-73.97077,"154 W 93RD ST NEW YORK, NY 10025",NEW YORK,10025.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.233,"$72,112.72 ",1%,7%,11%,17%,27%,62%,95%,9%,93%,Exceeding Target,87%,Exceeding Target,88%,Meeting Target,79%,Meeting Target,94%,Exceeding Target,91%,Meeting Target,Meeting Target,3.09,3.03
URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,05M286,15,0,0%,91%,310500010286.0,5.0,40.815745,-73.9556,"509 W 129TH ST NEW YORK, NY 10027",NEW YORK,10027.0,"06,07,08",06,08,No,0.8170000000000001,,6%,0%,59%,39%,98%,1%,87%,42%,92%,Meeting Target,86%,Meeting Target,90%,Meeting Target,76%,Approaching Target,78%,Approaching Target,86%,Approaching Target,Not Meeting Target,2.12,1.92
WASHINGTON HEIGHTS ACADEMY,06M366,15,0,0%,96%,310600010366.0,6.0,40.865573,-73.92160200000001,"202 SHERMAN AVE NEW YORK, NY 10034",NEW YORK,10034.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.777,"$36,559.91 ",17%,2%,1%,94%,95%,2%,94%,13%,95%,Meeting Target,89%,Exceeding Target,92%,Meeting Target,84%,Meeting Target,88%,Meeting Target,92%,Meeting Target,Meeting Target,2.57,2.72
COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,09X327,15,0,0%,98%,320900010327.0,9.0,40.842811,-73.916384,"1501 JEROME AVE BRONX, NY 10452",BRONX,10452.0,"06,07,08,09,10,11,12",06,12,No,0.862,,10%,0%,22%,77%,99%,1%,94%,21%,93%,Exceeding Target,94%,Exceeding Target,85%,Meeting Target,91%,Exceeding Target,79%,Meeting Target,93%,Exceeding Target,Exceeding Target,2.64,3.03
